,Lat,Lng,City,Temperature,Humidity,Clouds,Wind Speed
0,,,,30.2,92,40,8.05
1,,,,-20.21,68,75,5.82
2,,,,9.51,62,24,6.4
3,,,,-5.34,100,12,13.67
4,,,,52.92,62,0,5.82
5,,,,42.8,87,75,9.17
6,,,,60.0,64,0,5.06
7,,,,59.0,51,0,31.09
8,,,,15.21,80,90,18.34
9,,,,66.21,91,92,15.46
10,,,,57.2,58,40,28.86
11,,,,62.6,51,40,11.41
12,,,,87.5,53,0,2.93
13,,,,81.92,100,36,13.78
14,,,,66.44,10,0,10.76
15,,,,80.6,78,40,3.36
16,,,,91.32,62,24,2.93
17,,,,32.0,93,90,2.24
18,,,,50.87,81,92,25.41
19,,,,84.35,100,92,10.54
20,,,,78.0,100,20,12.77
21,,,,1.77,69,0,15.68
22,,,,61.48,35,1,29.97
23,,,,65.45,95,48,0.92
24,,,,1.73,100,88,6.96
25,,,,23.0,92,75,11.18
26,,,,-28.16,45,36,6.17
27,,,,66.2,100,90,2.26
28,,,,86.11,74,75,9.17
29,,,,78.27,100,88,19.26
30,,,,67.52,90,0,5.61
31,,,,48.89,92,92,2.37
32,,,,66.98,82,36,16.58
33,,,,83.0,100,68,7.63
34,,,,82.14,100,88,5.84
35,,,,61.94,60,64,8.63
36,,,,-0.62,89,0,17.25
37,,,,-13.01,75,75,13.87
38,,,,93.2,20,0,12.75
39,,,,35.6,34,0,4.47
40,,,,81.42,100,88,6.73
41,,,,39.2,80,64,17.22
42,,,,73.4,60,0,8.05
43,,,,59.22,77,20,8.05
44,,,,89.84,23,0,20.71
45,,,,73.96,70,20,14.99
46,,,,57.2,93,75,8.05
47,,,,21.31,53,90,8.05
48,,,,61.89,55,8,6.51
49,,,,77.82,89,92,12.44
50,,,,-8.99,64,8,3.49
51,,,,80.71,44,5,4.7
52,,,,54.54,100,75,6.93
53,,,,68.0,45,40,9.17
54,,,,59.0,82,75,8.41
55,,,,80.16,100,76,17.81
56,,,,46.67,63,90,25.28
57,,,,87.8,52,40,14.99
58,,,,-11.96,38,12,8.3
59,,,,30.75,100,76,13.0
60,,,,73.4,100,20,2.24
61,,,,-17.58,100,56,8.63
62,,,,71.6,60,20,17.22
63,,,,-16.14,41,24,2.37
64,,,,-9.98,61,90,6.93
65,,,,80.39,100,88,3.04
66,,,,61.56,67,75,16.11
67,,,,75.33,87,75,9.17
68,,,,59.0,82,75,11.41
69,,,,64.82,100,0,11.65
70,,,,43.72,100,75,5.82
71,,,,23.0,62,8,16.11
72,,,,23.01,81,0,2.59
73,,,,1.4,70,75,17.22
74,,,,-6.2,84,0,5.17
